contract_id,summary,termination_clause,confidentiality_clause,liability_clause
contract_0,"The agreement, between ADMA BioManufacturing LLC and Sanofi Pasteur S.A., amends the Manufacturing Agreement to clarify supply terms. The amended agreement stipulates that Sanofi Pasteur will purchase [***] Batches of Product from ADMA over a period from Q3 2018 to Q3 2019, as detailed in Exhibit A, which includes production timings and conditions. Risks and penalties are not specified in the summary; however, key obligations include Sanofi Pasteur's purchasing and ADMA’s manufacturing responsibilities, with amendments addressing existing terms for human plasma and supply plans. The amendment does not change any prior agreements between the parties unless specifically mentioned, maintaining continuity while updating contract provisions.","Sanofi Pasteur shall not be responsible, nor liable, to compensate or indemnify ADMA for the loss of business arising from the fact that, in such a case, the Source Plasma will no longer be manufactured by ADMA and consequently Sanofi Pasteur will not pay for the unproduced batch.","ADMA shall pay to Sanofi Pasteur an amount equal to $[***] ([***]) USD for each Batch of Product that is less than the agreed upon quantity in Exhibit A, as liquidated damages, and not as a penalty. The foregoing liquidated damages [***] respect to the [***] within the [***] agreed in this Amendment #3.","not entitled to payment for any production batches not produced or delivered as per this Amendment 3, as outlined in Section 5 below and payments for any of the unproduced or delivered production batches not being subject to ADMA's liability and expenses."
contract_1,"**Summary of Content License Agreement**

The **Agreement** between Pacificap Entertainment and Henry Film and Entertainment Corporation grants a 10-year exclusive, worldwide license to use PACIFICAP ENTERTAINMENT’s nostalgic television show library content. The Licensor (Pacificap) permits the Licensee (Henry Film) to create various media forms using this content. Key obligations include:

- **Use of Content:** Pacificap's content can be used for creating a wide range of media, including:
  - Television shows
  - DVD magazines
  - Internet streaming video television shows
  - Television shorts
  - Radio shows and shorts
  - Cell phone video clips
  - Caller ID video clips
  - Promotional commercials
  - Websites
  - Streaming video commercials
  - Highlight videos
  - Nostalgia sports network programming
  - DVD program packages
  - Television series
  - Stock footage library

- **Ownership of Content:** Pacificap's content is fully owned by Henry Film and Entertainment Corporation, ensuring exclusive rights for the Licensee.

- **Restrictions on Use:** Henry Film agrees to use its best efforts to limit visitors' access to PACIFICAP ENTERTAINMENT's content to personal use only, preventing further commercial redistribution. 

- **Intellectual Property Notice:** Pacificap must maintain any copyright or other intellectual property notices in its website and brand features.

In exchange, Pacificap agrees:
- To allow Henry Film the right to distribute, reproduce, retransmit, disseminate, sell, publish, broadcast, or circulate information from PACIFICAP ENTERTAINMENT’s content.
- To comply with any copyright or other intellectual property rights of Henry Film and Entertainment Corporation.

The License agreement sets out detailed obligations for both parties while emphasizing the exclusive nature of the license.","NOTICES: PACIFICAP ENTERTAINMENT will not alter or impair any acknowledgment of copyright or other Intellectual Property Rights of THE HENRY FILM AND ENTERTAINMENT CORPORATION, that may appear in the PACIFICAP ENTERTAINMENT website and the PACIFICAP ENTERTAINMENT Brand Features, including all copyright, trademark and similar notices that THE HENRY FILM AND ENTERTAINMENT CORPORATION may rea","NOTICES: PACIFICAP ENTERTAINMENT will not alter or impair any acknowledgment of copyright or other Intellectual Property Rights of THE HENRY FILM AND ENTERTAINMENT CORPORATION, that may appear in the PACIFICAP ENTERTAINMENT website and the PACIFICAP ENTERTAINMENT Brand Features, including all copyright, trademark and similar notices that THE HENRY FILM AND ENTERTAINMENT CORPORATION may rea","PACIFICAP ENTERTAINMENT'S RESPONSIBILITIES. PACIFICAP ENTERTAINMENT will be responsible for the delivery of all requested content less shipping and handling. Content will be delivered in the digital media form of DVCAM or other requested digital format. PACIFICAP ENTERTAINMENT will provide on-going assistance to THE HENRY FILM AND ENTERTAINMENT CORPORATION, with regard to technical, administrative and service-oriented issues relating to the utilization, transmission and maintenance of the PACIFICAP ENTERTAINMENT Content, as THE HENRY FILM AND ENTERTAINMENT CORPORATION requests."
contract_2,"### Detailed Summary:

This **Services Agreement** between Oaktree Capital Management, L.P. and Oaktree Capital Management (International) Limited sets forth the terms for a new relationship where the Sub-Advisor will continue to provide advisory services to Oaktree US in connection with certain investment management and marketing activities. The agreement replaces the Terminated Services Agreement dated June 11, 2018, which was previously effective until September 25, 2018.

### Key Obligations:

**Oaktree US:**
- **Appointment:** Oaktree US reappoints the Sub-Advisor as sub-investment manager and sub-advisor to the Funds.
- **Services Provided:** The Sub-Advisor agrees to provide specified services according to Clause 2 of the agreement, including marketing and promotion for the Funds.
- **Risks and Penalties:** Both parties acknowledge that the Sub-Advisor is a relying adviser under the Advisers Act, which imposes specific regulatory requirements.

**Sub-Advisor:**
- **Continuity:** The appointment remains continuous prior to and on or after September 25, 2018, subject to this new agreement.
- **Terms of Service:** The Sub-Advisor confirms accepting these terms and conditions, including marketing and promotional services for the Funds as outlined in Clause 2.

### Risks, Penalties, and Termination:

- **Risks and Penalties:**
  - If any party breaches this agreement, Oaktree US may terminate its obligations under the Terminated Agreement (dated June 11, 2018) without providing consideration or indemnification to the Sub-Advisor.
  
  - Both parties acknowledge that the Advisers Act applies if they provide services in compliance with it.

- **Termination and Effectiveness:**
  - This new agreement will take effect from September 25, 2018 (the ""Effective Date""). The Terminated Agreement automatically terminates on this date.
  - The agreement is subject to the terms and conditions set forth within this document.

The Sub-Advisor agrees to comply with all applicable laws and regulations in providing services for Oaktree US’s managed investment schemes.","TERMINATED AGREEMENT SHALL TERMINATE AND CEASE TO HAVE EFFECT FOR ALL PURPOSES, AND SHALL SIMULTANEOUSLY BE REPLACED BY THIS AGREEMENT, WITH EFFECT FROM 25 SEPTEMBER 2018 (THE ""EFFECTIVE DATE""). FOR THE AVOIDANCE OF DUBIOUSNESS, THE APPOINTMENT OF THE SUB-ADVISOR TO PROVIDE SERVICES TO OAKTREE US SHALL BE CONTINUOUS BEFORE, ON AND AFTER THE EFFECTIVE DATE, BUT SHALL HAVE EFFECT FROM AND AFTER THE EFFECTIVE DATE SOLELY SUBJECT TO THE TERMS AND CONDITIONS OF THIS AGREEMENT.",NOT FOUND,"TERM
10.1 Basic Term In relation to each Fund, this Agreement shall terminate on the earlier of (a) the expiration of the term of such Fund or (b) the date, if any, on which Oaktree US (or any affiliate it has substituted in its stead in accordance with such Fund's Fund Agreement) is removed as general partner of such Fund or (c) the Sub-Advisor ceasing to be authorised and regulated by the FCA."
contract_3,"**Summary of Exhibit 4 Rare Element Resources Ltd. IP Rights Agreement**

This agreement, titled ""Intellectual Property Rights Agreement,"" establishes a framework between Rare Element Resources Ltd. (""Company"") and Synchron (""Investor""), under which Investor has acquired rights to the Company's patented processes for rare earth mineral processing and separation through an Investment Agreement (IA). This transaction is facilitated by issuing an option to purchase common shares of the Company.

Key obligations for both parties include:
- The Company retains ownership of its patents and related technical information.
- Investor agrees to purchase certain rights within the options period, specifically acquiring improvements (modifications) to processes or technologies described in the patents. Both parties commit to maintaining confidentiality of all proprietary information during and after the agreement.

Potential risks and penalties are outlined:
- Disputes over ownership of improvements can escalate through mediation if they cannot be resolved.
- Failure to comply with terms could lead to termination, but both parties must provide a reasonable opportunity for cure.

Risks associated with breach include financial penalties under agreed mechanisms. Investors may also face monetary obligations or changes in investment conditions without prior notice.

The agreement ensures that both parties are committed to fostering innovation and commercialization of the patented processes through collaborative improvements and sharing of knowledge beneficial to the Company's operations.","Exhibit 4 Rare Element Resources Ltd. EXECUTION COPY IP Rights Agreement INTELLECTUAL PROPERTY RIGHTS AGREEMENT Synchron, a California corporation having a principal place of business at 3550 General Atomics Court, San Diego, CA 92121-1122 (or one or more Affiliates, the ""Investor""), and Rare Element Resources Ltd., a British Columbia Corporation having a principal place of business at P.O. Box 271049, Littleton, Colorado 80127 (the ""Company"") (Investor and Company each a “Party” and together the ""Parties”), agree as follows: I. Background of Agreement 1.00 Company is the owner of certain Patents and related Technical Information relating to rare earth mineral processing and rare earth separation. 1.01 Investor wishes to acquire certain rights under the Patents and related Technical Information in accordance with the terms of this IP Agreement. 1.02 Company and Investor are concurrently entering into an Investment Agreement (""Investment Agreement"") whereby Investor is making a monetary investment in Company. 1.03 Company is issuing the Option pursuant to which Investor will be entitled to purchase common shares of Company. II. Definitions As used herein, the following terms have the meaning set forth below: 2.01 Any term set out in this IP Agreement with its initial letters capitalized, shall have the same meaning as it has in the Investment Agreement, unless a different meaning is explicitly assigned to the term in this IP Agreement. 2.02 ""Affiliate"" has the meaning set for","Exhibit 4 Rare Element Resources Ltd. EXECUTION COPY IP Rights Agreement INTELLECTUAL PROPERTY RIGHTS AGREEMENT Synchron, a California corporation having a principal place of business at 3550 General Atomics Court, San Diego, CA 92121-1122 (or one or more Affiliates, the ""Investor""), and Rare Element Resources Ltd., a British Columbia Corporation having a principal place of business at P.O. Box 271049, Littleton, Colorado 80127 (the ""Company"") (Investor and Company each a “Party” and together the ""Parties”), agree as follows: I. Background of Agreement 1.00 Company is the owner of certain Patents and related Technical Information relating to rare earth mineral processing and rare earth separation. 1.01 Investor wishes to acquire certain rights under the Patents and related Technical Information in accordance with the terms of this IP Agreement. 1.02 Company and Investor are concurrently entering into an Investment Agreement (""Investment Agreement"") whereby Investor is making a monetary investment in Company. 1.03 Company is issuing the Option pursuant to which Investor will be entitled to purchase common shares of Company. II. Definitions As used herein, the following terms have the meaning set forth below: 2.01 Any term set out in this IP Agreement with its initial letters capitalized, shall have the same meaning as it has in the Investment Agreement, unless a different meaning is explicitly assigned to the term in this IP Agreement. 2.02 ""Affiliate"" has the meaning set forth below","liability for costs and reasonable attorneys’ fees and costs of investigation as incurred, arising out of or relating to any breach of any of the representations made in this Article 3.09."
contract_4,"### Summary of TouchStar Software Corporation Reseller Agreement

The **TouchStar Software Corporation Reseller Agreement** is a formal agreement between TouchStar Corporation, an American software company, and WorldWide Strategies, a Nevada corporation, for reselling TouchStar's software. The key points are:

- **Purpose:** To establish the terms under which WorldWide Strategies will market and distribute TouchStar's software as a non-exclusive value-added reseller in the Territory.
- **Key Obligations:**
  - Reseller must possess experience, knowledge, and capability to effectively market and distribute TouchStar Software and Support Services.
  - Reseller agrees to follow the annual marketing plan provided by TouchStar for effective distribution.
  - Reseller is committed to assessing customers' needs through an evaluation process (Assessment).
- **Risks and Penalties:**
  - Breach of obligations could result in termination or penalty as per Section 10.8 of the agreement.
  - Termination may occur if either party breaches this Agreement, including failure to meet specified performance targets.

This contract outlines a clear understanding between two entities regarding marketing strategies and distribution terms for TouchStar's software, ensuring both parties are committed to achieving the agreed goals effectively.",terminate any Other Reseller Agreement in the event that the Other Reseller fails to comply with the terms and conditions of such Other Reseller Agreement or this Agreement. Any Other Reseller shall obtain the TouchStar Software and the Support Services directly from the Reseller.,Confidential Information,"liability for any unauthorized or illegal use of the TouchStar Software by any Other Reseller, including, but not limited to, any actions or attempts to Reverse Engineer the TouchStar Software and any promotion, marketing, distribution, licensing or sale of the TouchStar Software in violation of Government Controls or other Legal Requirements."
contract_5,"**Exhibit 10.4 FORM OF TRANSFER AND SERVICING AGREEMENT**

This agreement among Verizon Owner Trust 2020-A as Issuer, Verizon Abs LLC as Depositor, and Cellco Partnership d/b/a Verizon Wireless as Servicer, Marketing Agent, and Custodian, dated January 29, 2020, outlines the terms for transferring, acquiring, servicing, and managing receivables related to broadband wireless services.

**Purpose:**
The agreement aims to transfer property rights from the Depositor (Verizon Abs LLC) to the Servicer (Cellco Partnership d/b/a Verizon Wireless), enabling the Servicer to collect, service, and manage the Receivables of the Depositor. This serves as collateral for the Notes issued by the Depositor.

**Key Obligations:**
- **Servicing of Receivables:** The Servicer is responsible for collecting, servicing, and managing all receivables related to broadband wireless services.
- **Represents and Warranties:** Both parties must make representations regarding their ownership and interest in the property being transferred. The Depositor warrants that it has not created any liens or other encumbrances on the Receivables prior to transfer.
- **Liability of Servicer:** The Servicer is responsible for all servicing, collection, and management activities related to the receivables. This includes compliance with regulatory requirements.
- **Termination Events:** Either party may terminate the agreement under certain conditions, such as breach of representations or warranties by the other party.

**Risks, Penalties, Termination, and Breach Consequences:**
- The Servicer has a duty to ensure all servicing activities comply with applicable laws. Failure to do so could result in penalties for the Servicer.
- If the Depositor breaches its representations or warranties regarding ownership of Receivables, the Servicer may be required to purchase such receivables from the depositor at fair market value.
- The agreement includes provisions for termination under specified conditions and provides a process for successor servicers if necessary.

The agreement ensures clear delineation between parties' responsibilities and obligations, providing structure and protection for both the Depositor and the Servicer in managing broadband wireless service-related receivables.",Termination of Upgrade Programs,"NOTICES TO OBLIGORS 16

ARTICLE IV ACCOUNTS, COLLECTIONS AND APPLICATION OF FUNDS 16

Section 4.1 Bank Accounts 16

Section 4.2 Investment of Funds in Bank Accounts 18

Section 4.3 Deposits and Payments 19

Section 4.4 Reserve Account",Section 5.2 Liability of Depositor
contract_6,"### Summary of KALLO Inc. Strategic Alliance Agreement with MobileCare and Gateway Global Fabrication Ltd.

This strategic alliance agreement between KALLO Inc., Petrodata Management Services Limited, and Gateway Global Fabrication Ltd. is a formal arrangement designed to promote cooperation in the region of Nigeria. The purpose of this collaboration aims to enhance market presence for Kallo’s mobile care products by establishing Business Associate relationships with both individuals and organizations interested in utilizing these services.

Key Obligations:

- **KALLO**: As the primary developer, owner, and licensor of the mobile care suite, KALLO is responsible for training and implementing the product. This aligns with the Agent's responsibility to market and sell Kallo’s products within Nigeria.
- **PDMS & Gateway**: These entities are Business Associates authorized by KALLO to represent their respective companies in the Nigerian market. They must adhere to the terms agreed upon with KALLO regarding pricing, sales commissions, and adherence to contractually defined policies.

Risks, Penalties, and Termination Consequences:

- **Payment Terms**: Failure to pay as stipulated breaches payment terms and may result in legal action against the Agent.
- **Trademark Violations**: Attempting to substitute or assist others in substituting Kallo’s mobile care products constitutes a material breach, potentially leading to termination of this agreement.
- **Infringement on Kallo’s Trademarks**: Any infringement on Kallo’s trademarks is strictly prohibited and may result in legal penalties against the Agent.

The summary captures the essence of the agreement's purpose, key obligations for each party involved, as well as critical considerations regarding risks, penalties, and termination or breach consequences.","Payment Terms
Copyrights
Trademarks
Replacement or Abetting","payment terms herein,
copyright or trademarks,
an attempt to replace or abet others to replace Kallo Mobile care suite of products or services at any existing or potential market.","Marketing and Sales Plan: The Agent shall prior to the signing of this agreement submit and have approved by Kallo a Marketing and Sales Plan for no less than 3 years committing the sale of no less than 15 Mobile Medical Clinics, 5 Mobile Clinics in twelve month period following the signing of this agreement as referred to in Schedule D, with minimum growth per annum thereafter of 20% cumulative. Failure to do this will be considered a material breach of this agreement.

Kallo shall not change the marketing and sales plan during this agreement without first discussing it with Agent and in the event that mutual agreement cannot be reached will provide at least 12 months' notice of any such change.

Should agreement not be reached, Agent may maintain its existing ""book of business"" and cease making sales under this agreement without prejudice so Page 5 long as Agent meets its support obligations to its clients and financial obligations to Kallo. KALLO - MOBILECARE

Competence: Agent agrees to comply in full with Section (2). Subparagraph (c) of this agreement and provide and acquire appropriate staffing, training and any other requirements for the marketing, and sales of the Kallo Mobile care suite of products, and to comply with the Kallo training, support, shipping and payment terms.

Conduct: Agent shall undertake no acts injurious to the business or goodwill of Kallo. Agent shall use its best efforts to promote Kallo and its"
contract_7,"### Detailed Summary

This Supply Agreement between Miltenyi Biotec GmbH and Bellicum Pharmaceuticals Inc. establishes a business relationship for the supply of specific products to Bellicum. The agreement outlines the terms under which Miltenyi will sell certain monoclonal antibodies, cell separation systems, and related technologies to Bellicum for clinical development and commercialization purposes.

**Purpose:**
The primary purpose of this agreement is to facilitate collaboration between Miltenyi Biotec GmbH, a biotechnology company specializing in research and pharmaceutical development, and Bellicum Pharmaceuticals Inc., a clinical-stage biopharmaceutical company focused on cellular immunotherapies. The agreement aims to ensure the efficient transfer of technology and products for both parties' mutual benefit.

**Key Obligations:**
- **Miltenyi's Obligations:** Miltenyi is committed to supply certain Miltenyi Products to Bellicum, including systems, devices, reagents, and related protocols. These products will be used exclusively in connection with Bellicum’s preclinical and clinical development programs and approved commercial use.
- **Bellicum’s Obligations:** Bellicum must purchase the supplied products for use in its research, development, manufacturing, and commercial activities.

**Risks and Consequences:**
- **Miltenyi's Risks/Consequences:** Miltenyi may face risks if it fails to supply the required products on time or at the agreed quality standards. In such cases, Bellicum has the right to terminate this agreement.
- **Bellicum's Risks/Consequences:** Bellicum could face financial losses if it cannot obtain the necessary products in a timely manner or if the quality of the supplied products is not up to standard.

**Termination:**
- The agreement can be terminated with thirty (30) days' written notice by either party. In case of termination, Miltenyi would receive an unencumbered royalty-free license for its technology and related know-how, subject to specific limitations.

The detailed provisions ensure that both parties benefit from the partnership while mitigating risks through clear definitions, obligations, and consequences outlined in this agreement.","Exhibit 10.1 [***] = Certain confidential information contained in this document, marked by brackets, has been omitted because it is both (i) not material and (ii) would likely be competitively harmful if publicly disclosed.","Exhibit 10.1 *** = Certain confidential information contained in this document, marked by brackets, has been omitted because it is both (i) not material and (ii) would likely be competitively harmful if publicly disclosed.","solely responsible for all regulatory activities with respect to any Miltenyi Product, including the manufacture and quality control thereof. (c) Disclaimer. Bellicum hereby acknowledges and agrees that, except as specifically set out with respect to any Miltenyi Product in the Product Specifications or in the Quality Agreement, as 13 Miltenyi Biotec-Bellicum Supply Agreement (Execution Copy, March 27, 2019) applicable, the Miltenyi Products have no approvals by Regulatory Authorities in the Territory for use in diagnostic or therapeutic procedures or other clinical applications, or for any other use requiring compliance with any law or regulation regulating clinical, diagnostic or therapeutic products or any similar product (hereinafter collectively referred to as “Regulatory Laws”). Bellicum further acknowledges and agrees that Miltenyi Products have not yet been fully tested or validated for safety or effectiveness in connection with Bellicum’s Permitted Use. Save as set out in the Product Specifications or the applicable Quality Agreement, it shall be the sole responsibility of Bellicum to test and validate the Miltenyi Products for Bellicum’s contemplated Permitted Use hereunder and to take all other actions necessary to establish compliance of Bellicum’s Permitted Use thereof with all regulatory requirements, and to ensure that any Bellicum Product resulting from such Pe"
contract_8,"**Detailed Summary of the Yield Maintenance Agreement**

The **Purpose**: This agreement aims to confirm the terms and conditions of an interest rate cap transaction between UBS AG, London Branch (""UBS AG""), and Wells Fargo Bank, N.A., in reference to the Wells Fargo Mortgage Backed Securities 2006-6 Trust. The document specifies that the obligations are governed by a Master Agreement or similar agreement.

**Key Obligations of Each Party**:
- **UBS AG**: Agrees to maintain the interest rate cap transaction as per the terms agreed upon.
- **Wells Fargo Bank, N.A., Wells Fargo Mortgage Backed Securities 2006-6 Trust**: Assembles a series of Certificates (Class I-A-22) with an aggregate Principal Balance that will be used for calculations and represents the obligations to deliver payments as per the terms.

**Risks, Penalties, Termination or Breach Consequences**:
- **Interest Rate Risks**: The parties are exposed to interest rate risk. UBS AG may face penalties if it does not maintain the cap agreement.
- **Termination Conditions**: The termination date is set for 1 April 2009, after which any remaining amounts will be repaid by the Counterparty.
- **Breach Consequences**: If either party breaches the terms of this Confirmation or the Master Agreement, they may face penalties and the other party may terminate the agreement.
- **Execution of Master Agreement**: The parties agree to negotiate an ISDA Form Master Agreement promptly upon execution of this Confirmation. This confirmation is supplementary and subject to such agreement.

The document outlines that the obligations continue until execution of an ISDA Form Master Agreement, which would supersede and govern all terms unless modified below. The agreements are subject to the definitions from the 2000 ISDA Definitions and may be amended with the understanding of good faith negotiations within reasonable timeframes.","provided, that this paragraph shall not restrict or prohibit UBS AG, after the filing of any proceeding filed independently of UBS AG, from joining any other person, including without limitation the Master Servicer, in any bankruptcy, reorganization, arrangement, insolvency, moratorium, liquidation or other analogous proceedings relating to Counterparty under any bankruptcy or similar law.","e will in good faith agree. Upon the execution by you and us of such an agreement, this Confirmation will supplement, form a part of and be subject to and governed by that agreement, except as expressly modified below. Until we execute and deliver that agreement, this Confirmation, together with all other documents referring to the ISDA Form (each a ""Confirmation"") confirming transactions (each a ""Transaction"") entered into between us (notwithstanding anything to the contrary in a confirmation), shall supplement, form a part of, and be subject to an agreement in the form of the ISDA Form as if we had executed an agreement in such form (but without any Schedule except for the election of the laws of New York as the Governing Law and U. S. Dollars as the Termination Currency) on the Trade Date of the first Transaction between us (hereinafter the ""Agreement""). In the event of any inconsistency between the provisions of any such Agreement and this Confirmation, this Confirmation will prevail for the purposes of this Transaction. The terms of the particular Swap Transaction to which this Confirmation relates are as follows: General Terms Trade Date: 27 April 2006 Effective Date: 01 April 2006 Termination Date: 1 April 2009 Calculation Amount: The lesser of (a) USD 20,000,000. 00 and (b) the aggregate Principal Balance (as defined in the Pooling and Servicing Agreement) of the Class I-A-22 Certificates as of the last day of the relevant Calculation Period. Seller of the Cap: UBS AG","Non-Reliance. Each party is acting for its own account, and has made its own independent decisions to enter into this Transaction and this Transaction is appropriate or proper for it based upon its own judgment and upon advice from such advisers as it has deemed necessary. Each party is not relying on any communication (written or oral) of the other party as investment advice or as a recommendation to enter into this Transaction"
contract_9,"The **Video-on-Demand Content License Agreement** between Rogers Cable Communications Inc. and EuroMedia Holdings Corp. grants exclusive rights to Rogers for distributing video-on-demand programming in Canada from EurocinemaSM. Key obligations include:

- Licensor provides a comprehensive list of current available programs, with Rogers able to request updates at least 60 days ahead.
- Rogers reserves the right to select what licensed programs are distributed on its service and may decline unsuitable ones based on its discretion.
- There is an obligation for closed captioning during broadcasts.

The agreement specifies that availability dates must be no later than ninety days after release in the U.S. or Canada, subject to a 90-day lead time for updates. Licensor promises to grant Rogers rights if another provider offers earlier availability. The terms also state that Licensor must authorize distribution of any other VOD/PPV service providers.

Rogers' obligations include paying reasonable costs and losses when programs are deleted from their list due to licensing conflicts, while ensuring closed captioning for all programs distributed on the ROD Service.","Licensed Program by any other means, including, without limitation, television (other than PPV) and internet, for a period of ninety (90) consecutive days following such Licensed Program’s VOD availability date.","refresh the Promotional Programs at a frequency rate to be mutually agreed upon in writing by Rogers and Licensor. (c) Licensor acknowledges and agrees that Rogers shall be entitled to insert a minimum of four (4) minutes of promotional materials per thirty (30) minutes of Promotional Programs. Rogers shall ensure that at least 75% of such promotional materials directly or indirectly promotes the Licensed Programs. (d) Licensor shall use commercially reasonable efforts to promote the ROD Service through Licensor’s consumer-facing advertising and promotional mediums within the Territory. Such mediums shall include, but not be limited to: (i) television",NOT FOUND
